raw_data,packet_len,ad_cnt,ad_len,ad_type,label,classic_bluetooth,manufacturer_or_service
0b16eefd0503000603070224,24,1,[11],['16'],tracker,unknown,1
07ff4c0012022489,16,1,[7],['ff'],tracker,unknown,1
0201060303edfe0d16edfe020085d71ede53baf927050954696c24,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
0201061bff2909c81c20102233d584fc423377547ae21e842addd05086bf980909552d424c444f5888,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c4c102233d584fc42337754b8086052aa517c0a4ffd770909552d424c444f5894,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201060303edfe0d16edfe020092f8d898cc2ee0f0050954696c65,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
0201061bff2909c81c07102233d584fc42337754c4f263ccdf1b660904c7420909552d424c444f5885,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c49102233d584fc42337754588a36b744784fb4da62b80909552d424c444f5852,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201001916eefd01010102c70300013504010b470f01100011f3130666,58,2,"[2, 25]","['01', '16']",non_tracker,yes,1
07ff4c0012022404,16,1,[7],['ff'],tracker,unknown,1
0201061bff2909c81c45102233d584fc423377542a5b05b89586d46028da900909552d424c444f5802,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c46102233d584fc42337754e5542af7ddbd169f1f78db0909552d424c444f5809,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02010603021b1810161b180204b2070101001a2c0000f40106094d4942465309ff57018822b2f29938,82,5,"[2, 3, 16, 6, 9]","['01', '02', '16', '09', 'ff']",non_tracker,no,1
02011a1bff8f031601148c42e4e45f00000005a46e46c76b740102030405060dff2717080302505e6e6bc74645,90,3,"[2, 27, 13]","['01', 'ff', 'ff']",non_tracker,yes,1
0b16eefd0503000603830200,24,1,[11],['16'],tracker,unknown,1
0201061bff2909c81c49102233d584fc42337754588a36b744784fb4da62b80909552d424c444f5859,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201060303edfe0d16edfe020038d58637a6060cbb050954696c13,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
0201061bff2909c81c37102233d584fc42337754d942ecc0ca74c49ba08bae0909552d424c444f5853,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
